ID,BillingType,Status,Category,DateAdd,MrrTotal,Quantity,ServicesStartDate,ServicesStatus,ServiceName,Price,Locations
148,recurring,active,person,2019-03-28,19500,1,2021-07-01,hidden,FTTH 15,26000,PYAY-CITY-FTTH
154,recurring,disabled,person,2019-03-30,0,1,2021-07-01,active,FTTH 15,26000,PYAY-CITY-FTTH
157,recurring,disabled,person,2019-04-01,0,1,2021-09-01,active,FTTH 60,75000,PYAY-CITY-FTTH
158,recurring,active,person,2019-04-02,26000,1,2021-07-01,active,FTTH 15,26000,PYAY-CITY-FTTH
159,recurring,disabled,person,2019-04-02,0,1,2019-03-11,hidden,FTTH 15,26000,PYAY-CITY-FTTH
162,recurring,active,person,2019-04-03,45000,1,2019-03-12,hidden,FTTH 15,26000,APN - San Chaung Garden
165,recurring,active,person,2019-04-05,31500,1,2019-03-12,hidden,FTTH 60,75000,MIH - South Oakkala
166,recurring,blocked,person,2019-04-05,26000,1,2019-03-12,hidden,FTTH 15,26000,PYAY-CITY-FTTH
167,recurring,active,person,2019-04-05,42000,1,2021-07-01,hidden,FTTH 15,26000,PYAY-CITY-FTTH
168,recurring,disabled,person,2019-04-05,0,1,2021-08-01,active,FTTH 15,26000,PYAY-CITY-FTTH
169,recurring,active,person,2019-04-04,26000,1,2019-03-12,hidden,FTTH 15,26000,PYAY-CITY-FTTH
175,recurring,active,person,2019-04-10,0,1,2019-03-18,hidden,FTTH 60,75000,APN - Pearl 
179,recurring,active,person,2019-04-18,22285.7142,1,2019-03-19,hidden,FTTH 15,26000,PYAY-CITY-FTTH
181,recurring,disabled,person,2019-04-18,0,1,2019-03-21,hidden,FTTH 15,26000,PYAY-CITY-FTTH
182,recurring,active,person,2019-04-18,26000,1,2019-03-21,hidden,FTTH 15,26000,PYAY-CITY-FTTH
188,recurring,active,person,2019-04-19,26000,1,2021-07-01,disabled,FTTH 15,26000,PYAY-CITY-FTTH
192,recurring,active,person,2019-04-20,26000,1,2021-08-01,active,FTTH 15,26000,PYAY-CITY-FTTH
194,recurring,active,person,2019-04-22,19500,1,2019-03-19,hidden,FTTH 15,26000,PYAY-CITY-FTTH
199,recurring,active,person,2019-04-25,19500,1,2019-03-21,hidden,FTTH 15,26000,PYAY-CITY-FTTH
200,recurring,active,person,2019-04-24,26000,1,2021-08-01,active,FTTH 15,26000,MIH - Time Square
201,recurring,active,person,2019-04-25,26000,1,2021-07-01,disabled,FTTH 60,75000,PYAY-CITY-FTTH
202,recurring,blocked,person,2019-04-25,26000,1,2019-03-23,hidden,FTTH 15,26000,PYAY-CITY-FTTH
204,recurring,active,person,2019-04-27,19500,1,2019-03-26,hidden,FTTH 15,26000,PYAY-CITY-FTTH
205,recurring,disabled,person,2019-04-27,0,1,2021-08-01,disabled,FTTH 15,26000,PYAY-CITY-FTTH
206,recurring,active,person,2019-04-29,19500,1,2021-07-01,disabled,FTTH 15,26000,PYAY-CITY-FTTH
207,recurring,active,person,2019-04-29,26000,1,2021-07-01,active,FTTH 15,26000,PYAY-CITY-FTTH
211,recurring,disabled,person,2019-04-29,0,1,2019-03-28,hidden,FTTH 15,26000,PYAY-CITY-FTTH
212,recurring,active,person,2019-04-30,19500,1,2019-03-29,hidden,FTTH 15,26000,PYAY-CITY-FTTH
213,recurring,disabled,person,2019-04-30,0,1,2021-07-01,hidden,FTTH 15,26000,PYAY-CITY-FTTH
215,recurring,disabled,person,2019-04-30,0,1,2019-03-30,hidden,FTTH 15,26000,PYAY-CITY-FTTH
217,recurring,blocked,person,2019-04-30,0,1,2019-03-30,hidden,FTTH 15,26000,PYAY-CITY-FTTH
218,recurring,disabled,person,2019-04-30,0,1,2019-04-01,hidden,FTTH 100,119000,APN - San Chaung Garden
222,recurring,active,person,2019-05-02,26000,1,2021-08-01,active,FTTH 15,26000,PYAY-CITY-FTTH
225,recurring,disabled,person,2019-05-03,0,1,2019-03-30,hidden,FTTH 15,26000,PYAY-CITY-FTTH
227,recurring,disabled,person,2019-05-04,0,1,2021-07-01,active,FTTH 15,26000,PYAY-CITY-FTTH
229,recurring,disabled,person,2019-05-06,0,1,2019-04-05,hidden,FTTH 15,26000,PYAY-CITY-FTTH
230,recurring,active,person,2019-05-06,64285.7142,1,2019-04-04,hidden,FTTH 15,26000,APN - Pearl 
231,recurring,disabled,person,2019-05-31,0,1,2019-03-30,hidden,FTTH 15,26000,PYAY-CITY-FTTH
233,recurring,active,person,2019-05-06,26000,1,2019-03-29,hidden,FTTH 15,26000,PYAY-CITY-FTTH
242,recurring,active,person,2019-05-09,26000,1,2019-05-06,hidden,FTTH 15,26000,APN - San Chaung Garden
247,recurring,active,person,2019-05-11,0,1,2019-04-18,hidden,FTTH 15,26000,APN - San Chaung Garden
249,recurring,active,person,2019-05-14,22285.7142,1,2021-07-01,active,FTTH 15,26000,PYAY-CITY-FTTH
250,recurring,disabled,person,2019-05-14,0,1,2019-04-18,hidden,FTTH 15,26000,APN - San Chaung Garden
251,recurring,active,person,2019-05-15,26000,1,2019-04-18,hidden,FTTH 15,26000,PYAY-CITY-FTTH
252,recurring,active,person,2019-05-15,22285.7142,1,2019-04-19,hidden,FTTH 15,26000,APN - Bayint Naung
259,recurring,blocked,company,2019-05-16,109000,1,2019-04-20,hidden,FTTH 15,26000,APN - Pearl 
260,recurring,blocked,person,2019-05-17,0,1,2021-07-01,active,FTTH 15,26000,PYAY-CITY-FTTH
261,recurring,disabled,person,2019-05-11,0,1,2019-04-22,hidden,FTTH 15,26000,PYAY-CITY-FTTH
263,recurring,active,person,2019-05-17,26000,1,2019-04-23,hidden,FTTH 15,26000,PYAY-CITY-FTTH
270,recurring,active,person,2019-05-20,19500,1,2021-09-01,active,FTTH 25,42000,PYAY-CITY-FTTH
273,recurring,disabled,company,2019-05-21,0,1,2021-07-01,active,FTTH 15,26000,APN - Diamond
275,recurring,disabled,person,2019-05-22,0,1,2019-04-27,hidden,FTTH 15,26000,APN - San Chaung Garden
278,recurring,active,person,2019-05-22,26000,1,2019-04-29,hidden,FTTH 15,26000,PYAY-CITY-FTTH
279,recurring,blocked,person,2019-05-22,26000,1,2019-04-29,hidden,FTTH 15,26000,PYAY-CITY-FTTH
280,recurring,disabled,person,2019-05-22,0,1,2019-04-29,hidden,FTTH 15,26000,PYAY-CITY-FTTH
281,recurring,disabled,person,2019-05-22,0,1,2019-04-30,hidden,FTTH 15,26000,PYAY-CITY-FTTH
284,recurring,disabled,person,2019-05-25,0,1,2021-07-01,active,FTTH 15,26000,PYAY-CITY-FTTH
285,recurring,disabled,person,2019-05-25,0,1,2019-04-30,hidden,FTTH 15,26000,PYAY-CITY-FTTH
292,recurring,disabled,person,2019-05-27,0,1,2021-07-01,hidden,FTTH 15,26000,PYAY-CITY-FTTH
297,recurring,disabled,person,2019-07-02,0,1,2019-05-03,hidden,FTTH 15,26000,PYAY-CITY-FTTH
302,recurring,blocked,person,2019-05-29,26000,1,2021-08-01,active,FTTH 15,26000,PYAY-CITY-FTTH
304,recurring,disabled,person,2019-05-30,0,1,2019-05-06,hidden,FTTH 15,26000,APN - Bayint Naung
312,recurring,blocked,person,2019-06-01,26000,1,2021-07-01,active,FTTH 15,26000,PYAY-CITY-FTTH
313,recurring,disabled,person,2019-06-03,0,1,2019-05-07,hidden,FTTH 15,26000,APN - San Chaung Garden
315,recurring,disabled,person,2019-06-03,0,1,2019-05-09,hidden,FTTH 15,26000,PYAY-CITY-FTTH
320,recurring,blocked,person,2019-06-05,26000,1,2019-05-09,hidden,FTTH 15,26000,PYAY-CITY-FTTH
323,recurring,active,person,2019-06-06,26000,1,2019-05-10,hidden,FTTH 15,26000,APN - San Chaung Garden
324,recurring,active,person,2019-06-06,42000,1,2019-05-10,hidden,FTTH 15,26000,APN - San Chaung Garden
326,recurring,active,person,2019-06-07,36000,1,2021-09-01,active,FTTH 60,75000,APN - San Chaung Garden
339,recurring,blocked,person,2019-06-13,26000,1,2019-05-15,hidden,FTTH 15,26000,PYAY-CITY-FTTH
343,recurring,active,person,2019-06-14,50000,1,2019-05-11,hidden,FTTH 15,26000,APN - Thilawa SEZ
349,recurring,active,person,2019-06-15,26000,1,2019-05-20,hidden,FTTH 15,26000,PYAY-CITY-FTTH
351,recurring,blocked,person,2019-06-17,0,1,2019-05-20,hidden,FTTH 15,26000,PYAY-CITY-FTTH
353,recurring,active,person,2019-06-18,20800,1,2019-05-21,hidden,FTTH 25,42000,PYAY-CITY-FTTH
362,recurring,active,person,2019-06-20,35000,1,2019-05-22,hidden,FTTH 15,26000,APN - San Chaung Garden
363,recurring,active,person,2019-06-20,22285.7142,1,2019-05-22,hidden,FTTH 15,26000,APN - San Chaung Garden
367,recurring,disabled,company,2019-06-24,0,1,2019-05-25,hidden,FTTH 25,42000,APN - Thilawa SEZ
368,recurring,disabled,person,2019-06-24,0,1,2019-05-25,hidden,FTTH 15,26000,PYAY-CITY-FTTH
370,recurring,active,person,2019-06-24,22285.7142,1,2019-05-31,hidden,FTTH 15,26000,PYAY-CITY-FTTH
374,recurring,active,person,2019-06-25,26000,1,2019-05-27,hidden,FTTH 15,26000,PYAY-CITY-FTTH
377,recurring,active,person,2019-06-25,35000,1,2019-05-27,hidden,FTTH 15,26000,APN - San Chaung Garden
378,recurring,disabled,person,2019-06-26,0,1,2019-05-27,hidden,FTTH 15,26000,PYAY-CITY-FTTH
380,recurring,active,person,2019-06-26,26000,1,2019-05-27,hidden,FTTH 15,26000,APN - San Chaung Garden
382,recurring,active,person,2019-06-26,22285.7142,1,2019-05-27,hidden,FTTH 15,26000,PYAY-CITY-FTTH
385,recurring,blocked,person,2019-06-27,0,1,2021-07-01,disabled,FTTH 15,26000,PYAY-CITY-FTTH
386,recurring,disabled,person,2019-06-28,0,1,2021-08-01,active,FTTH 15,26000,PYAY-CITY-FTTH
391,recurring,disabled,person,2019-07-02,0,1,2019-05-30,hidden,FTTH 15,26000,APN - San Chaung Garden
396,recurring,disabled,person,2019-07-03,0,1,2021-08-01,disabled,FTTH 15,26000,PYAY-CITY-FTTH
397,recurring,disabled,person,2019-07-04,0,1,2021-07-01,active,FTTH 15,26000,PYAY-CITY-FTTH
398,recurring,active,person,2019-07-04,42000,1,2019-05-31,hidden,FTTH 15,26000,APN - San Chaung Garden
404,recurring,active,person,2019-07-09,26000,1,2019-06-03,hidden,FTTH 25,42000,PYAY-CITY-FTTH
409,recurring,active,person,2019-07-09,26000,1,2019-06-04,hidden,FTTH 25,42000,PYAY-CITY-FTTH
413,recurring,blocked,person,2019-07-11,26000,1,2021-07-01,active,FTTH 25,42000,PYAY-CITY-FTTH
416,recurring,disabled,person,2019-07-11,0,1,2019-06-06,hidden,FTTH 15,26000,APN - Pearl 
421,recurring,disabled,person,2019-07-13,0,1,2021-07-01,disabled,FTTH 15,26000,PYAY-CITY-FTTH
422,recurring,disabled,person,2019-07-15,0,1,2021-07-01,hidden,FTTH 15,26000,PYAY-CITY-FTTH
426,recurring,blocked,person,2019-07-20,26000,1,2021-07-01,disabled,FTTH 15,26000,PYAY-CITY-FTTH
428,recurring,active,person,2019-07-22,26000,1,2019-06-10,hidden,FTTH 15,26000,PYAY-CITY-FTTH
430,recurring,blocked,person,2019-07-23,0,1,2019-06-12,hidden,FTTH 15,26000,APN - Bayint Naung
431,recurring,active,person,2019-07-23,31500,1,2019-06-12,hidden,FTTH 25,42000,APN - Yankin
434,recurring,disabled,person,2019-07-23,0,1,2020-12-01,hidden,DIA 40,0,PYAY-CITY-FTTH
435,recurring,active,person,2019-07-24,35000,1,2021-09-01,active,FTTH 25,42000,APN - San Chaung Garden
440,recurring,active,person,2019-07-26,19500,1,2021-07-01,active,Business 15,40000,APN - San Chaung Garden
441,recurring,disabled,person,2019-07-26,0,1,2019-06-14,hidden,FTTH 60,75000,PYAY-CITY-FTTH
446,recurring,active,person,2019-07-29,19500,1,2021-08-01,disabled,FTTH 15,26000,APN - Pearl 
449,recurring,disabled,person,2019-07-30,0,1,2021-07-01,active,FTTH 15,26000,PYAY-CITY-FTTH
452,recurring,disabled,person,2019-07-31,0,1,2019-06-18,hidden,FTTH 25,42000,PYAY-CITY-FTTH
454,recurring,disabled,person,2019-07-31,0,1,2019-06-18,hidden,FTTH 15,26000,PYAY-CITY-FTTH
455,recurring,disabled,person,2019-08-01,0,1,2021-08-01,disabled,FTTH 15,26000,APN - Maharswe
460,recurring,disabled,person,2019-08-02,0,1,2021-09-01,active,FTTH 25,42000,PYAY-CITY-FTTH
461,recurring,active,person,2019-08-02,26000,1,2019-06-20,hidden,DIA 50,0,APN - Maharswe
464,recurring,active,person,2019-08-02,26000,1,2019-06-21,hidden,FTTH 15,26000,PYAY-CITY-FTTH
469,recurring,disabled,person,2019-08-05,0,1,2021-07-01,disabled,FTTH 15,26000,PYAY-CITY-FTTH
473,recurring,active,person,2019-08-06,26000,1,2019-06-24,hidden,FTTH 15,26000,PYAY-CITY-FTTH
474,recurring,active,person,2019-08-06,26000,1,2021-07-01,disabled,FTTH 15,26000,APN - San Chaung Garden
475,recurring,disabled,person,2019-08-06,0,1,2021-08-01,hidden,FTTH 15,26000,APN - San Chaung Garden
476,recurring,disabled,person,2019-08-06,0,1,2021-07-01,active,FTTH 15,26000,APN - Maharswe
482,recurring,disabled,person,2019-08-07,0,1,2019-06-26,hidden,FTTH 15,26000,APN - Time Square
483,recurring,disabled,company,2019-08-07,0,1,2019-06-26,hidden,FTTH 15,26000,APN - Time Square
487,recurring,active,person,2019-08-08,26000,1,2019-06-27,hidden,FTTH 15,26000,PYAY-CITY-FTTH
488,recurring,active,person,2019-08-09,35000,1,2019-06-27,hidden,FTTH 15,26000,APN - San Chaung Garden
491,recurring,active,person,2019-08-09,19500,1,2019-06-28,hidden,FTTH 15,26000,PYAY-CITY-FTTH
508,recurring,disabled,person,2019-08-13,0,1,2019-07-01,disabled,DIA 100,0,MIH - Time Square
513,recurring,disabled,person,2019-08-14,0,1,2019-07-02,hidden,FTTH 15,26000,PYAY-CITY-FTTH
517,recurring,active,person,2019-08-14,0,1,2019-07-03,hidden,FTTH 15,26000,MIH - Time Square
518,recurring,active,person,2019-08-14,26000,1,2019-07-03,hidden,FTTH 15,26000,PYAY-CITY-FTTH
519,recurring,disabled,person,2019-08-15,0,1,2019-07-04,hidden,FTTH 15,26000,APN - Thilawa SEZ
546,recurring,active,person,2019-08-21,26000,1,2019-07-12,hidden,FTTH 15,26000,PYAY-CITY-FTTH
548,recurring,disabled,person,2019-08-23,0,1,2021-07-01,hidden,FTTH 15,26000,APN - Maharswe
549,recurring,active,person,2019-08-23,42000,1,2019-07-15,hidden,FTTH 15,26000,APN - San Chaung Garden
553,recurring,active,person,2019-08-24,26000,1,2019-07-18,hidden,FTTH 15,26000,PYAY-CITY-FTTH
556,recurring,active,person,2019-08-26,26000,1,2021-07-01,active,FTTH 15,26000,PYAY-CITY-FTTH
557,recurring,active,person,2019-08-26,26000,1,2019-07-22,hidden,FTTH 15,26000,PYAY-CITY-FTTH
564,recurring,disabled,person,2019-08-26,0,1,2019-07-23,hidden,FTTH 15,26000,PYAY-CITY-FTTH
566,recurring,active,person,2019-08-27,19500,1,2021-08-01,disabled,FTTH 15,26000,PYAY-CITY-FTTH
568,recurring,active,person,2019-08-27,26000,1,2019-07-24,hidden,FTTH 15,26000,PYAY-CITY-FTTH
571,recurring,disabled,person,2019-08-27,0,1,2019-07-26,hidden,FTTH 25,42000,APN - Pearl 
572,recurring,disabled,person,2019-08-27,0,1,2019-07-26,hidden,FTTH 15,26000,APN - Time Square
575,recurring,active,person,2019-08-29,26000,1,2019-07-27,hidden,FTTH 25,42000,PYAY-CITY-FTTH
577,recurring,active,person,2019-08-29,26000,1,2021-08-01,active,FTTH 15,26000,PYAY-CITY-FTTH
579,recurring,blocked,person,2019-08-29,0,1,2021-08-01,disabled,FTTH 15,26000,PYAY-CITY-FTTH
580,recurring,disabled,person,2019-08-29,0,1,2019-07-27,hidden,FTTH 15,26000,PYAY-CITY-FTTH
581,recurring,disabled,person,2019-08-29,0,1,2019-07-27,hidden,FTTH 15,26000,PYAY-CITY-FTTH
584,recurring,blocked,person,2019-08-30,0,1,2019-07-29,hidden,FTTH 15,26000,PYAY-CITY-FTTH
589,recurring,blocked,person,2019-09-02,26000,1,2019-07-31,hidden,FTTH 15,26000,PYAY-CITY-FTTH
590,recurring,active,person,2019-09-02,26000,1,2019-07-31,hidden,FTTH 15,26000,PYAY-CITY-FTTH
591,recurring,disabled,person,2019-09-02,0,1,2021-07-01,stopped,FTTH 15,26000,PYAY-CITY-FTTH
592,recurring,active,person,2019-09-02,35000,1,2019-07-31,hidden,FTTH 15,26000,APN - San Chaung Garden
595,recurring,disabled,person,2019-09-02,0,1,2019-07-31,hidden,FTTH 15,26000,PYAY-CITY-FTTH
597,recurring,disabled,person,2019-09-02,0,1,2021-07-01,active,FTTH 15,26000,PYAY-CITY-FTTH
599,recurring,active,person,2019-09-03,26000,1,2019-08-01,hidden,FTTH 15,26000,PYAY-CITY-FTTH
600,recurring,disabled,person,2019-09-03,0,1,2019-08-01,hidden,FTTH 15,26000,PYAY-CITY-FTTH
601,recurring,active,person,2019-09-03,26000,1,2021-07-01,hidden,FTTH 15,26000,PYAY-CITY-FTTH
604,recurring,active,person,2019-09-03,26000,1,2019-08-02,hidden,FTTH 15,26000,PYAY-CITY-FTTH
606,recurring,active,person,2019-09-04,22285.7142,1,2019-08-03,hidden,FTTH 15,26000,PYAY-CITY-FTTH
608,recurring,disabled,person,2019-09-05,0,1,2021-07-01,hidden,FTTH 15,26000,APN-GOLDEN-CITY-DIA
609,recurring,disabled,person,2019-09-05,0,1,2021-07-01,hidden,FTTH 15,26000,PYAY-CITY-FTTH
610,recurring,disabled,person,2019-09-05,0,1,2021-07-01,hidden,FTTH 15,26000,PYAY-CITY-FTTH
620,recurring,blocked,person,2019-09-06,26000,1,2019-08-06,hidden,FTTH 15,26000,PYAY-CITY-FTTH
636,recurring,active,person,2019-09-10,26000,1,2019-08-09,hidden,FTTH 15,26000,MIH - Time Square
638,recurring,active,person,2019-09-11,26000,1,2019-08-09,hidden,FTTH 15,26000,MIH - Time Square
645,recurring,disabled,person,2019-09-14,0,1,2021-07-01,disabled,FTTH 15,26000,PYAY-CITY-FTTH
649,recurring,blocked,person,2019-09-16,26000,1,2019-08-13,hidden,FTTH 15,26000,PYAY-CITY-FTTH
654,recurring,disabled,person,2019-09-17,0,1,2019-08-14,hidden,FTTH 25,42000,PYAY-CITY-FTTH
657,recurring,active,person,2019-09-18,26000,1,2019-08-14,hidden,FTTH 15,26000,APN - San Chaung Garden
664,recurring,active,person,2019-09-18,45000,1,2021-07-01,hidden,FTTH 15,26000,APN - San Chaung Garden
669,recurring,blocked,person,2019-09-19,26000,1,2021-07-01,hidden,FTTH 15,26000,PYAY-CITY-FTTH
678,recurring,disabled,person,2019-09-20,0,1,2019-08-17,hidden,FTTH 15,26000,PYAY-CITY-FTTH
681,recurring,active,person,2019-09-21,26000,1,2019-08-19,hidden,FTTH 25,42000,PYAY-CITY-FTTH
682,recurring,disabled,person,2019-09-21,0,1,2021-07-01,disabled,FTTH 15,26000,PYAY-CITY-FTTH
683,recurring,disabled,person,2019-09-23,0,1,2019-08-19,hidden,FTTH 15,26000,APN - Pearl 
693,recurring,disabled,person,2019-09-24,0,1,2021-07-01,active,FTTH 15,26000,APN - Diamond
701,recurring,active,person,2019-09-25,26000,1,2019-08-22,hidden,FTTH 15,26000,APN - San Chaung Garden
709,recurring,blocked,person,2019-09-27,26000,1,2021-07-01,active,FTTH 15,26000,PYAY-CITY-FTTH
712,recurring,blocked,person,2019-09-28,26000,1,2021-07-01,hidden,FTTH 15,26000,PYAY-CITY-FTTH
714,recurring,active,person,2019-09-30,42000,1,2019-08-26,hidden,FTTH 15,26000,PYAY-CITY-FTTH
721,recurring,blocked,person,2019-09-30,26000,1,2019-08-26,hidden,FTTH 15,26000,PYAY-CITY-FTTH
727,recurring,blocked,person,2019-10-01,26000,1,2019-08-26,hidden,FTTH 15,26000,APN - Maharswe
729,recurring,active,person,2019-10-01,26000,1,2021-07-01,active,FTTH 15,26000,APN - San Chaung Garden
730,recurring,active,person,2019-10-01,22285.7142,1,2021-07-01,active,FTTH 15,26000,APN - San Chaung Garden
731,recurring,disabled,person,2019-10-02,0,1,2021-07-01,active,FTTH 15,26000,PYAY-CITY-FTTH
738,recurring,active,person,2019-10-02,26000,1,2021-07-01,hidden,FTTH 25,42000,PYAY-CITY-FTTH
739,recurring,disabled,person,2019-10-02,0,1,2019-08-30,hidden,FTTH 15,26000,APN - Time Square
741,recurring,disabled,person,2019-10-02,0,1,2021-07-01,disabled,FTTH 15,26000,APN - Twin Centro
743,recurring,active,person,2019-10-03,26000,1,2019-08-30,hidden,FTTH 15,26000,PYAY-CITY-FTTH
745,recurring,disabled,person,2019-10-03,0,1,2019-08-30,hidden,FTTH 15,26000,PYAY-CITY-FTTH
746,recurring,active,person,2019-10-03,26000,1,2019-08-30,hidden,FTTH 15,26000,PYAY-CITY-FTTH
751,recurring,disabled,person,2019-10-04,0,1,2021-07-01,hidden,FTTH 15,26000,PYAY-CITY-FTTH
752,recurring,blocked,person,2019-10-04,0,1,2019-08-30,hidden,FTTH 15,26000,PYAY-CITY-FTTH
754,recurring,disabled,person,2019-10-04,0,1,2021-07-01,active,FTTH 15,26000,PYAY-CITY-FTTH
755,recurring,disabled,person,2019-10-04,0,1,2021-07-01,active,FTTH 15,26000,PYAY-CITY-FTTH
758,recurring,disabled,person,2019-10-07,0,1,2019-09-02,hidden,FTTH 15,26000,PYAY-CITY-FTTH
763,recurring,active,person,2019-10-07,119000,1,2019-09-02,hidden,FTTH 15,26000,PYAY-CITY-FTTH
765,recurring,active,person,2019-10-08,35000,1,2019-09-03,hidden,FTTH 15,26000,PYAY-CITY-FTTH
767,recurring,disabled,person,2019-10-08,0,1,2019-09-03,hidden,FTTH 15,26000,PYAY-CITY-FTTH
769,recurring,disabled,person,2019-10-09,0,1,2019-09-03,hidden,FTTH 15,26000,PYAY-CITY-FTTH
774,recurring,disabled,person,2019-10-10,0,1,2021-07-01,active,FTTH 25,42000,PYAY-CITY-FTTH
776,recurring,disabled,person,2019-10-16,0,1,2021-09-01,active,FTTH 25,42000,APN - AYCT
777,recurring,active,person,2019-10-16,20800,1,2019-09-04,hidden,FTTH 15,26000,APN - San Chaung Garden
778,recurring,active,person,2019-10-16,26000,1,2019-09-05,hidden,FTTH 15,26000,PYAY-CITY-FTTH
780,recurring,active,person,2019-10-16,26000,1,2019-09-05,hidden,FTTH 15,26000,PYAY-CITY-FTTH
784,recurring,disabled,person,2019-10-16,0,1,2019-09-05,hidden,FTTH 15,26000,PYAY-CITY-FTTH
785,recurring,disabled,person,2019-10-17,0,1,2019-09-05,hidden,FTTH 15,26000,MIH - Time Square
789,recurring,disabled,person,2019-10-18,0,1,2021-07-01,active,FTTH 15,26000,PYAY-CITY-FTTH
790,recurring,active,person,2019-10-18,26000,1,2021-07-01,active,FTTH 15,26000,PYAY-CITY-FTTH
793,recurring,active,person,2019-10-18,22285.7142,1,2019-09-07,hidden,FTTH 15,26000,APN - Maharswe
794,recurring,active,person,2019-10-18,22285.7142,1,2021-07-01,active,FTTH 15,26000,PYAY-CITY-FTTH
795,recurring,blocked,person,2019-10-19,26000,1,2019-09-07,hidden,FTTH 15,26000,PYAY-CITY-FTTH
796,recurring,active,person,2019-10-19,26000,1,2019-09-07,hidden,FTTH 15,26000,PYAY-CITY-FTTH
802,recurring,disabled,person,2019-10-21,0,1,2021-07-01,disabled,FTTH 15,26000,APN - AYCT
803,recurring,active,person,2019-10-21,22285.7142,1,2019-09-09,hidden,FTTH 15,26000,PYAY-CITY-FTTH
804,recurring,disabled,person,2019-10-21,0,1,2019-09-09,hidden,FTTH 15,26000,PYAY-CITY-FTTH
805,recurring,active,person,2019-10-21,19500,1,2019-09-09,hidden,FTTH 15,26000,APN - Paragon
809,recurring,active,person,2019-10-22,42000,1,2021-08-01,disabled,FTTH 15,26000,APN - San Chaung Garden
810,recurring,active,person,2019-10-23,13000,1,2021-07-01,active,FTTH 15,26000,PYAY-CITY-FTTH
811,recurring,blocked,person,2019-10-23,26000,1,2021-07-01,active,FTTH 15,26000,PYAY-CITY-FTTH
817,recurring,blocked,person,2019-10-24,26000,1,2021-07-01,active,FTTH 15,26000,PYAY-CITY-FTTH
828,recurring,disabled,person,2019-10-26,0,1,2021-07-01,stopped,FTTH 15,26000,PYAY-CITY-FTTH
829,recurring,blocked,person,2019-10-26,0,1,2019-09-14,hidden,FTTH 15,26000,APN - San Chaung Garden
836,recurring,blocked,person,2019-10-29,0,1,2021-08-01,active,FTTH 15,26000,PYAY-CITY-FTTH
839,recurring,disabled,person,2019-10-29,0,1,2019-09-17,hidden,FTTH 25,42000,APN - Paragon
840,recurring,active,person,2019-10-30,19500,1,2019-09-17,hidden,FTTH 15,26000,APN - Maharswe
842,recurring,active,person,2019-10-30,26000,1,2019-09-18,hidden,FTTH 15,26000,APN - San Chaung Garden
850,recurring,disabled,person,2019-10-31,0,1,2021-07-01,hidden,FTTH 15,26000,PYAY-CITY-FTTH
852,recurring,disabled,person,2019-11-01,0,1,2019-09-18,hidden,FTTH 15,26000,LAOKAI-DIA
855,recurring,disabled,person,2019-11-01,0,1,2019-09-19,hidden,FTTH 15,26000,PYAY-CITY-FTTH
862,recurring,disabled,person,2019-11-02,0,1,2019-09-20,hidden,FTTH 15,26000,PYAY-CITY-FTTH
863,recurring,active,person,2019-11-02,26000,1,2019-09-20,hidden,FTTH 15,26000,PYAY-CITY-FTTH
868,recurring,active,person,2019-11-04,26000,1,2021-07-01,disabled,FTTH 15,26000,PYAY-CITY-FTTH
